Designator,Mid X,Mid Y,Rotation,Layer
D1,82.185,-65.655,90.0,bottom
D10,133.685,-71.655,90.0,bottom
D11,154.185,-75.655,90.0,bottom
D12,170.185,-81.655,90.0,bottom
D13,82.185,-98.155,90.0,bottom
D14,98.185,-95.155,90.0,bottom
D15,115.685,-84.655,90.0,bottom
D16,132.685,-87.655,90.0,bottom
D17,149.185,-91.655,90.0,bottom
D18,166.685,-97.005,90.0,bottom
D19,99.185,-121.005,90.0,bottom
D2,99.185,-62.655,90.0,bottom
D20,81.685,-126.305,90.0,bottom
D3,115.685,-53.155,90.0,bottom
D4,135.185,-55.155,90.0,bottom
D5,157.685,-60.655,90.0,bottom
D6,175.185,-65.505,90.0,bottom
D7,82.185,-81.655,90.0,bottom
D8,98.685,-78.305,90.0,bottom
D9,115.685,-68.655,90.0,bottom
S1,77.185,-61.655,0.0,top
S10,129.185,-67.655,355.0,top
S11,149.685,-71.155,345.0,top
S12,166.685,-76.655,345.0,top
S13,77.185,-93.955,0.0,top
S14,93.685,-90.955,0.0,top
S15,110.685,-81.155,0.0,top
S16,127.685,-83.655,355.0,top
S17,145.685,-86.655,345.0,top
S18,162.685,-92.655,345.0,top
S19,93.685,-118.455,16.0,top
S2,93.935,-58.405,0.0,top
S20,75.685,-123.655,17.0,top
S3,110.685,-49.155,0.0,top
S4,130.372835,-51.504761,355.0,top
S5,153.908733,-55.576786,345.0,top
S6,171.185,-60.805,345.0,top
S7,77.185,-77.655,0.0,top
S8,93.685,-74.655,0.0,top
S9,110.685,-65.155,0.0,top
U1,51.565,-72.075,0.0,top
